name,rate,votes
Bangalore Donne Biriyani,3.2,4
SGS Non Veg - Gundu Pulav,3.8,101
Keventers,3.7,54
Navi Food Point,3.6,22
Shawarma Inc,3.1,31
The Cafe Nuts and Bolts,3.0,29
AM WOW,3.4,6
Lalbagh Grand,3.0,22
Funjabi Curries,2.9,11
Eat Repeat,3.9,101
Salut,4.1,442
Nammura Donne Biriyani,3.5,155
Lassi Stop,3.4,12
Dakshin Kitchen,3.6,15
Sri Sai Cafe,3.5,10
Sri Sai 99 Variety Dosa,3.8,25
Utsav Restaurant,3.8,61
Crunch and Munch,3.7,23
Food Geek,3.8,25
Sri Krishna Aramane,3.7,40
Great Indian Rolls,3.3,4
Chats Point,3.4,8
Food Point,3.5,32
Swarga Ruchi,3.3,10
Kolkata King,3.4,6
Sandwich Mama's And Frozen Monster,3.8,53
New Rajadhani Spicy,3.7,67
Big Mishra Pedha,2.9,23
VEGeatz,3.4,19
Foodizo,3.6,24
Food Springs,4.0,232
Chung's Chinese Corner,3.9,221
Eurasia Pasta and Barbeque by Little Italy,4.1,1063
Goli Vada Pav No. 1,3.7,93
Ragoo's,3.9,233
Pure & Natural,3.9,211
Maiyas,4.0,1778
Sip n Dine,3.6,218
Cafe Mondo,3.7,514
Jalpaan,4.0,866
Kataria's Pakwan,3.2,96
Juicy Momos,3.5,80
Amande Patisserie,4.0,73
Anand Sweets and Savouries,3.9,84
Chicken Hunt,3.5,88
Swadesh Tadka,3.5,179
Cane-O-La,3.8,61
New Biryani Mane,3.7,128
Upahara Darshini,3.8,339
Karnataka Bhel House,4.1,449
Sreeraj Lassi Bar,4.1,210
Juice Junction Food Court,3.7,57
Bunt's Biriyani Palace,3.0,213
Chai Point,3.2,208
Janahaar,3.8,70
Redberrys,4.0,219
Utsav,3.7,59
Meat And Eat,3.1,10
Snacks Bite,3.0,9
The Spice Saga,3.7,124
Dakshin Cafe,3.7,19
Kaulige Millet Corner,3.3,4
Ifruit Ice Cream,3.3,4
Havmor,3.8,21
Grand Food,3.4,8
Dining Hut,3.5,10
Desi Swaad,3.5,10
Yummy Momos,3.2,4
Masale Daan,3.1,4
Grow Fit,3.6,16
Lassi Spot,3.3,4
Sandwich Hub,3.4,12
Udupi Sri Krishna Cafe,3.9,14
Starlite Bakery & Fastfood,3.7,0
Veganbreak24x7,2.8,5
Aadhya Hotel,3.3,5
Dodda Mane Baaduta,3.5,15
Swadd Kitchen,3.4,4
Happy Chopsticks,3.6,17
Udupi Upachar,3.3,6
Davanagere Benne Dose Hut,3.4,10
Jalsa,4.1,775
Subz,4.2,2022
Cafe Shuffle,4.2,150
Mint and Mustard,4.0,232
Chinese Square,3.9,38
Punjabi Raswada,3.5,431
Vinny's,4.2,2115
Chetty's Corner,3.4,30
Kapoor's Cafe,4.2,150
Donne Biryani & Kabab Corner,3.3,12
Sukh Sagar,3.8,155
S M V Snacks Corner,3.7,33
Andhra Ruchulu,4.1,666
Steaming Mugs,3.9,240
San Churro Cafe,3.8,918
Rajathadri Food Fort,4.0,465
Brew Meister,4.1,970
Rasoi,3.3,128
Mr. Singh Da Dhaba,3.6,241
Kababs N Biryani,3.4,22
Ayodhya Upachar,4.3,734
Biriyani Mane,3.8,130
Cafe Ajfan,4.2,261
Brundhavana Food Point,4.0,191
SLV Corner Restaurant,4.1,364
Hotel New Karavali,3.8,133
The Krishna Grand,3.9,888
360 Atoms Restaurant And Cafe,3.1,13
Roti Ghar,3.9,750
The Coffee Shack,4.2,164
Kettle & Kegs,3.2,6
Baisakhi,3.8,527
Corner House Ice Cream,4.3,345
Poonam Sweets,4.4,356
XO Belgian Waffle,3.7,17
Old Mumbai Ice Cream,3.9,38
Cake of the Day,3.7,78
Amma's Pastries,3.8,60
Kanti Sweets,4.0,115
