name,rate,votes
Primal,3.0 ,25
7 Star Biryani,3.2 ,15
Momoz,3.9 ,626
Gangothri Veg Restaurant,3.7 ,93
CHAAI BEE,3.5 ,8
Happy Plate,3.6 ,54
Cool Lassi Burger,3.1 ,7
Samrat Regency Bar And Restaurant,3.8 ,29
Juice Point,3.2 ,6
The Local - Burger Bar,3.8 ,152
Loca Moca,3.7 ,46
Malnad Military Hotel,3.8 ,40
Sri Vinayaka Andhra Mess,3.3 ,4
Bakimo,3.5 ,7
Fetchpod Cafe,2.9 ,12
Urban Spice,3.6 ,23
Om's Cafe Prana,3.6 ,16
Kebarbiq,4.0 ,138
M World Cafe,3.5 ,14
Ambur Biryani Mess,3.4 ,18
Chaman's Night Kitchen,3.5 ,11
Ambur Biryani Hotel,3.2 ,13
Shree Nandini Andhra Mess,3.3 ,5
Malabar Mint,3.4 ,39
Jade,3.3 ,6
Rice and Rolls,2.7 ,61
Holiday Fast Food,3.4 ,21
Shiva Sai Andhra Hotel,3.2 ,4
Punjabi Dhaba,3.4 ,356
Shaap,3.6 ,207
Grills And Tandoor,3.7 ,111
Tella Tales,4.2 ,414
Zeeshan,3.8 ,214
Kaaram,3.9 ,326
Pizza Hut,3.7 ,708
Black Pepper Lounge - Case de Bengaluru,3.7 ,81
Dreams Cafe - All Day English Food St.,3.8 ,230
Taco Bell,4.1 ,1962
Kota Kachori,4.3 ,3618
Eat Street,4.2 ,1531
Mooch Marod,4.2 ,93
Stoner,4.5 ,2617
California Burrito,4.1 ,1227
Sree Krishna Kafe,4.2 ,972
Khawa Karpo,4.3 ,995
Nutri Rich,3.8 ,53
White Elefan Coffee and Snack Bar,3.9 ,45
Habibi Falafel,4.3 ,221
Tenzin Kitchen,4.2 ,532
Podi Idly,4.3 ,654
Fiero! Pizzeria,4.0 ,61
Khatta Meetha Teekha,4.2 ,190
30 Square,4.2 ,557
IDC Kitchen,4.2 ,52
Madurai Idly Shop,3.7 ,468
Arya Hungry?,4.3 ,279
Sagar Fast Food,4.0 ,138
Leon Grill,4.3 ,169
Biryanis And More,3.7 ,21
Tibetan Kitchen,4.3 ,246
The Wok Shop,4.1 ,271
Atta Galata,4.1 ,209
Polar Bear,4.2 ,195
Subway,3.7 ,219
Sonar Bangala,3.8 ,76
KFC,3.8 ,476
Gods Own Cafe,4.4 ,384
Ramji Chaiwale,3.8 ,94
Madeena Hotel,4.0 ,88
Chapati House,3.9 ,34
Momo Hut,4.0 ,684
Banchharam,3.9 ,140
Smoor,4.2 ,100
Delhi Food Point,3.3 ,911
Sagar Fast Food,4.0 ,76
Laziz Pizza,3.8 ,45
Burger King,3.9 ,1047
Rolls Mania,3.7 ,32
McDonald's,3.8 ,295
Guns N Roses,3.6 ,23
Faasos,4.0 ,462
Desi Flavours,3.9 ,121
Chaska Bun,4.2 ,166
Lucknowiz,3.5 ,323
Mizo Kitchen,3.8 ,27
Rolls & Co,3.9 ,213
Raj Rasoi,3.5 ,12
Delite Chaat House,3.9 ,501
Udupi Upahar,3.6 ,16
PORKEATS,3.4 ,6
Gundappa Donne Biryani,3.1 ,117
Taste of Nepal,3.5 ,24
Sri Krishna Sagar,3.9 ,43
Little Kolkata,3.9 ,97
The Burger Place,3.8 ,28
Indore Eat Restaurant,4.0 ,72
New Mangalore Lunch Home,3.8 ,36
The Kitchen,3.6 ,9
Ambur Biryani,3.5 ,17
Falahaar,3.9 ,154
Min Mini Punjabi Dhaba,3.9 ,85
Under The Hood,4.0 ,76
Yummy Biryani,3.8 ,41
Pappu Chaiwalla,3.5 ,10
Lakeview Milkbar,3.8 ,289
The Hidden Cafe,3.9 ,96
Biggies Burger 'n' More,3.8 ,108
New Ambur Biryani,3.2 ,6
Chowpatty,3.6 ,95
Ghee Positive,3.8 ,48
Jai Jinendra,4.0 ,98
Dosa Plaza,3.8 ,140
Burger Lounge,3.6 ,75
Chefie,3.8 ,37
Ganesh Restaurant,3.7 ,51
Chef Baker's,3.6 ,37
Chetty's Corner,3.8 ,34
Paratha Darbar,3.5 ,15
Flavour of Himalaya,3.7 ,24
Mitran Da Junction,4.1 ,321
Maa Di Hatti,2.8 ,137
Five Star Chicken,2.7 ,45
Chill-Um Cafe,4.1 ,152
Shiv Sagar,3.9 ,150
Golden China,3.6 ,22
Shanthi Sagar,3.4 ,9
Kinpeetos,3.9 ,64
Ober Cafe,3.5 ,10
Bharat Kitchen,3.7 ,21
Tibbs Frankie,3.5 ,70
Ande Ka Funda,3.7 ,73
Coconadu,3.6 ,36
Mangala Hotel,3.6 ,97
Subham Pal Kitchen,3.3 ,10
Paisa Vasool,3.3 ,395
Appam & Curry,3.8 ,18
Rolls On Wheels,2.6 ,153
Friend's Cafe,3.9 ,554
Mountain Spice,3.9 ,188
The Enav Bowl,3.8 ,20
Jeevika Donne Biryani,3.4 ,8
Hungry Paunch,4.0 ,203
Peppers,2.8 ,94
Udupi Grand,2.8 ,64
Malabar Treat,3.4 ,6
Village Donne Biryani,3.3 ,49
Desi Dhaba,3.7 ,34
Food And You,3.8 ,89
Meat And Eat,3.6 ,90
Tawa,3.4 ,25
Cochin Connection,3.6 ,41
C Kosila Kitchen,3.1 ,7
Sri Krishna Sagar,3.6 ,13
Pai's Kitchen,3.5 ,12
One Stop MARATHA,3.1 ,39
Malabar Coastal Cuisine,3.6 ,68
Chai Chowk,3.8 ,82
Ghar Ka Khana,3.7 ,95
Bawarchi Biryani,3.4 ,65
Paratha Singh Pakora King,3.7 ,36
Natuna Seafood House,4.1 ,76
The Monalisa Restaurant,3.3 ,4
Udupi Upahara,3.6 ,47
Falafel's - The Lebanese Haus,2.9 ,53
NGV Fast Food,3.5 ,8
Delhi Home Food,3.3 ,5
Falafel Bistro,3.4 ,6
Little Kitchen,3.6 ,82
Maa Durga Fast Food,3.6 ,21
Kor Cafe,3.8 ,36
A.M New Punjab Food Corner,3.5 ,21
A3 Nuwang Kitchen,3.7 ,42
Rimo,3.9 ,44
Royal Calcutta Restaurant,4.0 ,270
Now Momos,3.4 ,11
Cool Point,3.2 ,7
Shree Mithai,3.3 ,9
Mysore Carnival Restaurant,3.8 ,14
The Breakfast Truck,3.8 ,64
Martino's,3.6 ,30
The Fresh Factor,3.1 ,14
Krupa Sagar,3.2 ,4
Hotel Thazooq,3.3 ,6
Naani'z Biryani,3.3 ,6
Banashankari Donne Biriyani,3.3 ,4
Egg House,2.9 ,14
S.W.A.T Food Truck,3.7 ,21
Shahi Dasterkhwan,2.9 ,11
DeliToons,4.0 ,126
The Mylapore Cafe,3.7 ,23
Ambur Hot Dum Biryani,3.3 ,8
Hotel Oottupura,3.6 ,21
Dry Dock Cafe,3.6 ,10
Kerala Mess,3.4 ,19
TOKI Taco House,3.6 ,72
Eat Sleep Eat Repeat,3.5 ,16
Chung Shan Chinese Restaurant,3.7 ,32
North Indian Tadka,3.0 ,6
Biryani Foodies,3.1 ,7
Rolls On Wheel,3.0 ,18
Chowk Tea Stall,3.4 ,9
Jayanthi Sagar,3.1 ,21
FNC Seafood,3.8 ,56
Kanha's Kafe,3.5 ,12
New Ambur Dum Biryani,3.2 ,7
FrostBite,3.5 ,15
Lets cafe,3.5 ,6
Mr. Meow's Hotdogs,3.5 ,7
Aaharam,4.0 ,65
Blu Dale Fast Food,3.3 ,7
Al Hayath Ambur Biryani,3.3 ,9
Cauvery Fast Food,3.2 ,4
Crunch Pizzas,2.3 ,77
Marahaba,3.0 ,7
VRS Food Zone,3.3 ,5
Dosalicious,3.3 ,7
Shahi Darbar,3.2 ,5
Calicut Durbar,3.8 ,58
Pathaan Sir,3.8 ,132
Namma Biriyani,3.7 ,17
Shudh Desi Khana,3.5 ,18
Hotel Marina,2.8 ,26
Shanghai Times,2.8 ,13
Tapri By The Corner,4.1 ,205
Sulaimani Chai,3.8 ,21
Kevins Kitchen,3.8 ,103
Hotel Feast Ambur Biriyani,3.4 ,257
Dhang Ka Khana,3.7 ,34
Calvin's,3.8 ,433
Sri Ganesh Juice Corner,3.0 ,9
Chaiwala,3.1 ,53
Hammered,4.3 ,411
Punjabi by Nature 2.0,4.2 ,3236
Baar Union,4.6 ,650
Pin Me Down,4.5 ,811
Vanilla Sky,4.7 ,798
Loveshack,4.0 ,1768
Ministry of Food - Hilton Bangalore Embassy GolfLinks,4.2 ,469
Kitchen On Table,4.3 ,793
Here & Now,4.6 ,1590
Bonum cibum,4.5 ,229
Safe House,4.1 ,1377
Mudpipe Cafe,4.5 ,1879
Murphy's Brewhouse - The Paul Bangalore,4.3 ,2035
Indigo X II P,4.4 ,243
Sector 7 CafÃÂÃÂÃÂÃÂ©,4.3 ,1104
Blk Plus Wht,4.3 ,127
HSR High Street,3.8 ,321
Malabar Bay,4.2 ,1542
Aasife & Brothers Biriyani Centre,3.9 ,126
Sidewalk Cafe & Bar - The Paul Bangalore,4.2 ,217
Hotel Godavari,3.9 ,226
Mayur,3.7 ,21
Zero Mile Punjab,4.1 ,1341
New Gongura Grand,3.9 ,370
Birinz,4.3 ,83
Jose's Mess,4.3 ,316
Biryani Spot,3.5 ,9
Johnny Fox,3.9 ,70
Savoury - Sea Shell Restaurant,3.9 ,468
Vembanad - The Paul,4.2 ,325
Kumarakom,3.8 ,1167
El Salver,3.9 ,74
Thottathil Restaurant,3.8 ,69
KLINX - Hilton Bangalore Embassy GolfLinks,4.2 ,209
Dadi's Dum Biryani,4.1 ,2727
Bengali Fun Foods,3.9 ,65
Biriyani Zone,3.9 ,670
Sichuan,4.0 ,494
Savoury Restaurant,3.9 ,421
Azimmo Treat,3.8 ,43
Nanda's,2.9 ,361
Lounge 189,3.8 ,157
Rajesh Restaurant,3.5 ,59
Raghavendra Tiffin,4.4 ,228
New Prashanth Hotel,3.1 ,53
Muthashy's,4.2 ,468
Kuttanadu,2.8 ,261
Brother?s Bar & Kitchen,3.4 ,5
Hyderabadi Biryani Hub,3.6 ,220
Royal Paris,3.8 ,71
Kannur Food Point,4.0 ,139
Hello Resto-Pub,4.0 ,344
Darshan Paradise Restaurant,3.6 ,15
Navya Foods,3.4 ,7
The Salt Grill - Hilton Bangalore Embassy Golflinks,4.1 ,94
Mecaf Family Restaurant,3.9 ,214
Amaravati,3.6 ,39
Hotel Junior Kuppanna,3.1 ,266
Dhaba Bytes,4.1 ,134
Grillopia,3.9 ,97
Canopy Flavours,2.6 ,49
Shri Madhuram,3.9 ,371
Sai Mango Tree,3.6 ,45
The Cake Lair,3.4 ,10
Tawa Ghar Ka,3.8 ,331
Make It Roll,3.8 ,34
The Velu's,3.6 ,13
Kanti Sweets,3.8 ,49
Sri Udupi Park,4.0 ,65
Howrah Bridge,3.3 ,293
Cheesy Juicy Burgers,3.8 ,18
Royal View Restaurant,3.7 ,26
Awesome Foods,3.7 ,26
Davanagere Benne Dose,3.9 ,106
re:cess - Hilton Bangalore Embassy GolfLinks,4.1 ,146
Cinnamon,3.9 ,450
Sri Dalma,3.8 ,78
New Surya Sweets & Snacks,3.5 ,7
Atithi,3.9 ,224
Dindigul Time Pass Restaurant,3.2 ,115
Ambur Star Briyani,2.8 ,228
Avon Bar & Kitchen,3.7 ,105
HSR Agarval Bhavan,3.2 ,68
Bangalore Star Biriyani,3.4 ,7
Rajveena Kitchen,3.7 ,28
#L-81 Cafe,3.9 ,48
Hotel Manu,3.8 ,341
Nadan Thattukada,3.7 ,36
Afghani Tandoori Hub,3.7 ,14
Aroma Fine Dine,4.0 ,126
Aaranya Restaurant,3.4 ,212
Donne Biriyani House,3.8 ,278
GrannyzHut,3.4 ,8
Al Hayath,3.5 ,17
Kabab Magic,3.1 ,283
New Udupi Grand,3.6 ,36
Mayur,3.7 ,21
Nandanam Family Restaurant,3.6 ,18
Bakers Town,3.6 ,42
Reddy's Restaurant,3.7 ,141
Nanna Munna Paratha House,3.6 ,20
Mandya Gowdru Donne Biriyani,3.8 ,283
Tasty Magic,2.7 ,73
Body Temple,3.3 ,12
Biryani Palace,3.9 ,462
Sri Krishna Kitchen,3.6 ,42
Bake and Juice,3.5 ,15
Bisimillah Biriyani,3.5 ,11
Nammura Donne Biriyani,3.6 ,68
Litti Twist,4.2 ,106
Yo! Thali,3.5 ,6
Arabian Bites,3.4 ,24
Masala Dani - The Paul,3.7 ,56
Grigliato,3.9 ,717
Kannoor Restaurant,3.1 ,18
Kakatiya's,3.1 ,6
New Tasty Cafeteria,3.8 ,377
Royal Biryani Kitchen,3.9 ,191
Nandhanam Restaurant,3.8 ,8
GKT Biryani World,3.7 ,84
Invitation Bar & Restaurant,3.0 ,15
5th Main Cafe,3.5 ,15
A Bar,3.3 ,19
Foodiesthan,3.7 ,59
Swaadam Veg,3.6 ,34
Habitts,3.7 ,61
Sri Saravana Bhavan,3.7 ,35
Zanzibar - Davanam Sarovar Portico Suites,3.5 ,39
Mak n Vak - Fyn,3.9 ,338
Xpress Chai,3.7 ,31
Hotel Reddy Bhavan,3.4 ,11
Thalassery Cafe,3.4 ,7
Bisimillah Biriyani's & Kebab's,3.3 ,6
Cafe 58,3.4 ,4
Fillers,3.9 ,139
Kapoor's Biriyani,3.3 ,334
The Biriyani Pedia,3.9 ,58
Melt,4.0 ,115
Avanti Indian Barbeque & Grill,3.4 ,46
Nile Garden Restaurant,2.6 ,33
Murli,3.7 ,79
Kairali,3.9 ,172
Taste Of Malabar,3.6 ,23
Mangalore Lunch Home,3.6 ,43
Dum & Oven,3.7 ,29
Neer Dosa Fish Land,3.6 ,39
Le Rosa Restaurant,3.2 ,4
Seekers Cafe,3.6 ,25
Dash In,3.1 ,53
De Street Cafe,3.6 ,61
Cafe Hush,3.6 ,22
Cafe Velvette,3.5 ,11
HungerLoft,2.5 ,109
New Grand Restaurant,3.1 ,11
Jigarthanda,3.6 ,11
Al Habibi Restaurant,3.5 ,17
Kataria's Home Food,3.1 ,40
Sri Vishnupriya,3.0 ,67
Aarya Pork Hotel,3.4 ,12
Desi Vdesi,3.8 ,50
SLV Andhra Mess,3.5 ,6
Indian Paratha Factory,2.9 ,24
Sri Durga Cane Fresh,3.4 ,5
Amravathi Restaurants & Caterers,3.1 ,6
Shater Grill House,3.5 ,8
Benzys,3.2 ,6
Kabab Ghar,3.3 ,14
Cafe 221B,3.7 ,49
Pout,4.0 ,40
Chettinad Food House,3.1 ,7
Kaaka T Cafe,3.5 ,6
Just Sandwiches,3.6 ,10
Cafe Talkhouse,3.8 ,23
Yum Tum,3.4 ,7
What the Food,3.6 ,38
Sri Udupi Sagar,3.5 ,12
Purani Dilli,3.2 ,4
Tummy Delight,3.5 ,16
New Farm Fresh,3.6 ,34
Two States,3.4 ,5
Sizzling Tandoor,3.1 ,5
Nawab-E-Khana,3.2 ,30
Khan Saheb Grills and Rolls,3.8 ,63
Borah's Kitchen,3.3 ,12
Indori Chatorey,2.8 ,137
The Duke of Juices,2.8 ,5
AutoExpress - Hot Dogs,3.3 ,5
Tomago Roast,3.5 ,12
Ambur Hot Dum Biryani,3.5 ,21
2nd Home Restaurant,3.7 ,21
Bamboo Heights,3.7 ,112
Dine in Restaurant,3.4 ,7
Adithya Family Restaurant,3.7 ,27
Ambur Biriyani Point,3.6 ,26
Ambur Biryani,3.2 ,5
Ambur Tasty Biriyani,3.2 ,4
Brew Cafe,3.2 ,4
Friend's Kitchen,3.5 ,10
South Side,3.3 ,6
Barkat,3.4 ,6
Svadu Sweets,3.3 ,6
Hotel Mirchi Red,3.0 ,32
Pakiza Dilli Darbar Restaurant,3.2 ,13
Anda Ka Funda,3.2 ,64
Naati Biriyani,3.1 ,4
Mongolian Kitchen,3.8 ,30
Prawn Crunch,3.3 ,8
New Punjabi Hotel,3.7 ,180
Food And You,3.9 ,35
Sri Lakshmi Dhaba,3.1 ,18
Durbar Greens Family Restaurant,3.6 ,10
Swad 'E' Punjab,3.6 ,51
Ammus Hot N Cool,3.4 ,84
Chettayees,3.4 ,154
PSV's Andhra Paradise,3.5 ,117
Public Khana,3.5 ,17
Krishna Sagar,3.9 ,52
Dum Biryani Hub,3.9 ,66
The Terrace at Gilly's Redefined,4.6 ,890
Myu Bar at Gilly's Redefined,4.5 ,1231
The Fixx,4.3 ,217
Prost Brew Pub,4.5 ,7854
Sotally Tober,4.4 ,4081
1522 - The Pub,4.2 ,1741
The Beer Cafe,4.2 ,1176
Cilantro,4.0 ,281
Sutra Spice-The Resto Bar,3.9 ,34
Fill N Chill Resto Bar & Pub,3.9 ,599
Fandom at Gilly's Redefined,3.9 ,105
Barcode,3.8 ,169
H3O,3.3 ,4
The Bier Library,4.3 ,563
Koramangala Social,4.6 ,4694
XOOX Brewmill,4.4 ,1569
Gilly's Restobar,4.5 ,3915
Bombay Adda,4.4 ,2362
Fenny's Lounge And Kitchen,4.6 ,6372
Biergarten,4.8 ,467
Brooks and Bonds Brewery,4.5 ,3967
House Of Commons,4.7 ,4442
Foxtrot - House of Subculture,4.4 ,373
Drava,4.3 ,114
The Boozy Griffin,4.6 ,4997
Simon Says Brew Works,4.5 ,1995
Happy Brew,4.0 ,2159
Crawl Street,4.3 ,2572
The Old Fashioned Bar,4.5 ,571
B-hive,4.3 ,1551
Harry's Bar + Cafe,4.2 ,1367
Barleyz,3.7 ,4652
What's In A Name,4.1 ,1789
Sathya's,4.1 ,759
The Local - Terrace Drinkery,4.0 ,1408
52 Wall Street,3.9 ,740
Bulls N Bears - Bar Trade Xchange,3.9 ,150
Tilt Gastro Lounge,4.1 ,1237
Drunkling - Sizzlers and Pub,4.4 ,347
Gorilla Barfare,4.2 ,270
Over The Top Terrace Lounge,3.9 ,1389
Sherlock's Pub,3.9 ,590
Tetto,3.7 ,130
Jimi's Beer Cafe,3.8 ,674
Banana Beach Bar,3.7 ,1014
Oil Pump,3.7 ,68
Daawat Restaurant Bar & Pub,3.5 ,9
Gallop Bar - Davanam Sarovar Portico Suites,3.5 ,11
Primal,3.0 ,25
Samrat Regency Bar And Restaurant,3.8 ,29
The Local - Burger Bar,3.8 ,152
Black Pepper Lounge - Case de Bengaluru,3.7 ,81
Hammered,4.3 ,416
Baar Union,4.6 ,653
Loveshack,4.0 ,1776
Safe House,4.1 ,1382
Murphy's Brewhouse - The Paul Bangalore,4.3 ,2035
Invitation Bar & Restaurant,3.0 ,15
Zanzibar - Davanam Sarovar Portico Suites,3.5 ,39
The Black Pearl,4.7 ,10512
Boho,4.2 ,1754
Bonsouth,4.2 ,2620
XOOX Brewmill,4.4 ,1569
Buff Buffet Buff,4.5 ,3163
Sultans of Spice,4.5 ,3467
Asia Kitchen By Mainland China,4.9 ,2235
Empire Restaurant,4.1 ,6943
Hunan,4.3 ,2248
Over The Top Terrace Lounge,3.9 ,1389
Naati Manae,3.9 ,485
Urban Spoon Buffet Restaurant,3.5 ,32
Foxtrot - House of Subculture,4.4 ,373
Onesta,4.4 ,9079
Barbeque Nation,4.7 ,3628
Punjab Bistro,4.4 ,459
By The Blue - Grand Mercure,4.1 ,786
Toscano,4.5 ,718
Barleyz,3.7 ,4652
Salt - Indian Restaurant Bar & Grill,4.4 ,681
Hanoi - Vietnamese Cuisine,4.4 ,1808
Magnolia,4.1 ,674
Tangerine - Davanam Sarovar Portico Suites,4.0 ,151
Oye Amritsar,4.0 ,1864
Banjara Melting Pot,4.2 ,767
Cilantro,4.0 ,281
China Bowl,3.9 ,457
Saara's Cafe - SS Lumina Hotel,4.2 ,117
12th Main - Grand Mercure,4.1 ,354
Saara's Grill n Spice - SS Lumina Hotel,4.3 ,105
Embers - Nandhana Grand Hotel,3.8 ,38
China Down Town,3.5 ,5
Punjabi by Nature 2.0,4.2 ,3236
The Globe Grub,4.4 ,274
Savoury Restaurant,3.9 ,421
Truffles,4.7 ,14710
Dyu Art Cafe,4.5 ,3845
Om Made Cafe,4.1 ,2733
Sixth Avenue Cafe And Patisserie,4.4 ,174
A Hole Lotta Love Cafe,4.3 ,2873
Dice N Dine,4.3 ,1807
Stoner,4.5 ,2620
YORK St.,4.4 ,949
Roundup Cafe,4.2 ,496
Hungry Hippie,4.3 ,1470
Market Table,4.5 ,549
Nuts Over Salads Cafe,4.5 ,208
Cafe D'hide,4.2 ,874
Krazy Factory,4.0 ,431
Cafe Medley,4.2 ,1063
99 Pancakes,4.5 ,344
The Yellow Tuk-Tuk Cafe,3.6 ,16
Bistro Oui,4.1 ,402
Cafe Graffiters,3.8 ,23
Smally's Resto Cafe,4.2 ,1704
Fresh Pressery Cafe,4.1 ,141
Chai Galli,4.4 ,480
Cafemoto,4.0 ,201
WTF,4.1 ,93
Barista,3.5 ,66
Bun Town,3.8 ,22
Billionaires Cafe,3.8 ,47
Dhuaan,4.3 ,138
Cafe Jezve,3.8 ,18
Cafe Coffee Day,2.9 ,70
Tella Tales,4.2 ,414
On The Nose,2.7 ,26
The Hole in the Wall Cafe,4.6 ,7122
Onesta,4.4 ,9079
Third Wave Coffee Roasters,4.4 ,1225
Zee5 Loft,4.4 ,362
Blue Tokai Coffee Roasters,4.0 ,75
Bistro Claytopia,4.1 ,1855
Cafe Thulp,4.1 ,3006
Dialogues,4.1 ,314
Bearfoot Cafe,4.2 ,177
Mr. Beans - Home Cafe,4.2 ,2714
Stoked!,4.3 ,294
Mimansa @ Foxtrot,4.4 ,192
Bundar,4.1 ,2449
eat.fit,4.6 ,1193
Sardarji Londonwaley,4.1 ,325
Shanmukha,4.0 ,996
Sai Abhiruchi,3.7 ,340
Fish Chain,4.1 ,54
Swadista Aahar,4.1 ,789
Kannur Food Point,3.7 ,216
FreshMenu,3.9 ,586
The Paratha Company,4.3 ,169
Fattoush,4.2 ,1294
Leon Grill,4.3 ,171
Delhi Food Point,3.3 ,911
Hiyar Majhe Kolkata,3.9 ,255
Capsicum Family Restaurant,3.8 ,256
Chettayees,3.4 ,154
La Pino'z Pizza,4.1 ,504
Aligarh House,4.4 ,107
New Tasty Cafeteria,3.8 ,377
Burger King,4.1 ,359
Khatta Meetha Teekha,4.2 ,190
Abhiruchi Hotel,3.5 ,738
Hotel Manu,3.8 ,342
Bhojohori Manna,4.1 ,1962
Truly Punjab,4.1 ,388
Sri Ganesh Juice Junction,3.7 ,129
Sri Lakshmi Dhaba,3.0 ,260
Biryanis And More,3.7 ,21
Al-Bek,3.9 ,184
Easy Bites,4.1 ,77
Sagar Fast Food,4.0 ,138
Gogula's Sweets & Chats,4.0 ,208
Apna Punjab,3.7 ,479
Empire Restaurant,3.8 ,103
Biryani Pot,3.8 ,1080
Roti Wala,4.0 ,200
Kerala Pavilion,3.8 ,305
Birinz,4.3 ,83
Sri Ganesh Juice Junction,4.1 ,212
Andhra Kitchen,4.0 ,189
Kitchens@BTM,3.9 ,230
Muthashy's,4.2 ,469
Kullad Cafe,3.9 ,333
Beijing Bites,3.8 ,17
Ambur Biryani Point,4.2 ,428
Swad Punjab Da,4.1 ,133
Namma Biriyani,3.7 ,17
YummRajj,3.5 ,45
Hatti Punjab Di,3.9 ,234
Kalingas,3.9 ,182
Wok Paper Scissors,4.3 ,1593
Corner House Ice Cream,4.6 ,277
Momoz,3.9 ,626
XO Belgian Waffle,4.5 ,560
A2B - Adyar Ananda Bhavan,4.2 ,39
Kota Kachori,4.3 ,3617
Paratha Junction,2.9 ,178
Taco Bell,4.1 ,1962
30 Square,4.2 ,557
Golden Restaurant,3.4 ,411
Hakka Chinese Restaurant,3.9 ,331
Shree Muthahalli Veg,4.2 ,850
Vegetarea,3.8 ,40
Donne Biriyani House,3.5 ,407
Just Shawarma,4.0 ,412
Punjabi Dhaba,3.4 ,356
Cake Box,3.5 ,98
Truffles,4.7 ,14710
Poha House,3.6 ,11
Punjabites,3.7 ,24
Subway,3.1 ,382
Village Donne Biryani,3.3 ,49
Gangothri Veg Restaurant,3.7 ,93
Dum Biryani Hub,3.9 ,66
Royal Biryani Kitchen,3.9 ,191
Sulemani Chichas,4.1 ,361
Delight Food,2.6 ,175
Maa Bhook Lagi,3.9 ,297
Meghana Foods,4.4 ,7233
Fresh Kitchen,3.3 ,25
MRA,3.7 ,25
Behrouz Biryani,4.0 ,359
Chaat Street,4.0 ,293
Madeena Hotel,3.9 ,240
Chai Point,4.0 ,113
South Tiffins,3.6 ,144
Zero Mile Punjab,4.1 ,1342
Priya Juice & Snacks,3.7 ,76
New Mahesh Friends Food Corner,3.2 ,52
CakeZone,4.1 ,18
Vegan Heat,4.1 ,313
Litti Twist,4.2 ,465
Punjabi Nawabi,4.0 ,107
Shaadi Ki Biryani,3.1 ,31
Nandhanam Restaurant,3.8 ,8
Bathinda Tandoor,3.8 ,60
KFC,3.7 ,630
Savitha Family Restaurant,4.0 ,198
Savoury Restaurant,3.9 ,421
Mahesh Friends Food Center,2.9 ,136
Ghee Biryanis,3.5 ,139
Pizza Hut,3.9 ,490
The Biriyani Pedia,3.9 ,58
Alankrutha,3.8 ,260
Dadi's Dum Biryani,4.1 ,2727
Sri Punjabi Dhaba,3.3 ,50
Thalassery Restaurant,3.7 ,382
Kaaram,3.9 ,326
OMG Biriyani,3.4 ,16
Andhra Bhojanam,3.3 ,23
Bathinda Junction,4.1 ,1250
Karama Restaurant,3.8 ,11
Anand Sweets And Savouries,4.2 ,1077
Sri Vishnu Park,3.8 ,100
New Punjabi Hotel,3.7 ,181
Indian Chicken Biryani Point,3.3 ,9
Potful,4.1 ,1128
Ascharya Hotel,3.4 ,11
Krishna Sagar,3.9 ,52
New Gongura Grand,3.9 ,371
Kabab Magic,4.0 ,964
Navya's,2.5 ,47
Hotel Salam,4.1 ,130
Tandoori Paradise,3.5 ,8
Biryani Junction,2.3 ,298
Chicken Magic,3.6 ,214
Sri Udupi Park,4.0 ,65
Aasife & Brothers Biriyani Centre,3.9 ,127
Asha Tiffins,4.3 ,286
Hyderabad Biryaani House,4.1 ,1117
Aramane Donne Biriyani,3.9 ,192
Warm Oven,4.3 ,894
Gyani Da Punjabi Dhaba,3.9 ,1190
Sahana's (Nati Style),3.7 ,48
Amontron,3.9 ,461
Indian Food,2.9 ,343
Tharavadu,3.9 ,84
Ovenstory Pizza,4.1 ,192
Sangam Sweets,3.9 ,149
Biryani Palace,3.9 ,462
Night Biryani,3.2 ,21
Yo! Thali,3.5 ,6
Odissi Restaurant,2.9 ,67
Le Arabia,4.2 ,146
Grow Fit,4.0 ,457
New Mangalore Lunch Home,3.8 ,36
Kanti Sweets,4.1 ,113
Polar Bear,4.1 ,71
Sri Krishna Sagar,3.9 ,43
Vijayalakshmi Veg,3.9 ,100
Mad Over Donuts,4.2 ,703
Podi Idly,4.3 ,655
Rajanna Military Hotel,4.1 ,171
Sher-E-Punjab,3.1 ,22
Savoury - Sea Shell Restaurant,3.9 ,468
Ashirvaad Grand,4.0 ,115
Kannoor Restaurant,3.1 ,18
Hyderabadi Biryani Hub,3.6 ,221
Noodle Panda,4.3 ,341
Sardarji Ka Dhaba,4.0 ,758
Chokha Chowka,3.9 ,358
Mealer.in,4.2 ,701
Moolehatti Donne Biryani Mane,3.6 ,218
UBQ by Barbeque Nation,3.4 ,6
New Udupi Grand,3.6 ,36
Hotel Godavari,3.9 ,226
99 Variety Dosa & Pav Bhaji,3.8 ,16
Mustard Cafe,4.1 ,894
Rajveena Kitchen,3.7 ,28
ONE IN A MELON,4.1 ,414
PHEW (Play Hard Eat Wild),3.9 ,487
Lassi Shop,3.9 ,39
Hari Super Sandwich,4.0 ,18
Biriyani Bhatti,3.7 ,23
Afghani Tandoori Hub,3.7 ,14
Lucknowi Dabba,3.7 ,21
Chaiwala,3.1 ,53
Szechuan Dragon,3.9 ,184
Chicken County Grand,3.9 ,324
Onesta,4.4 ,9079
C. K. Mega Hot Food,4.0 ,101
Paisa Vasool,3.3 ,395
Pot Biryani,3.9 ,462
Mandya Gowdru Donne Biriyani,3.8 ,283
Gorbandh,4.0 ,85
Veruthe Oru Thattukada,3.7 ,27
Daba Delights,3.3 ,9
Arya Hungry?,4.3 ,279
